id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,id_team,player_image,distance_covered(km/h),top_speed,minutes_played,matches_appareance,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored,saves,goals_conceded,saves_on_penalty,clean_sheets,punches_made,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance,fouls_committed,fouls_suffered,yellow_cards,red_cards,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted,total_attempts,attempts_on_target,attempts_off_target,blocked,assists,corners_taken,offsides,dribbles
250016833,Harry Kane,England,Forward,STRIKER,65.0,188.0,31,50037,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250016833.jpg,43.71,30.35,360.0,4.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,82.0,118.0,97.0,0.0,1.0,0.0,0.0,4.0,2.0,6.0,0,0,3.0,2.0,1.0,1.0,1.0,20.0,12.0,6.0,2.0,1.0,0.0,3.0,10.0
250105927,Viktor Gyökeres,Sweden,Forward,,,,26,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250105927.jpg,41.94,34.55,360.0,4.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,73.25,75.0,56.0,50.0,2.0,1.0,0.0,4.0,10.0,7.0,0,0,1.0,2.0,0.0,2.0,5.0,15.0,8.0,3.0,4.0,0.0,0.0,3.0,6.0
250121533,Vinícius Júnior,Brazil,Forward,UNKNOWN,,,24,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121533.jpg,38.39,35.47,360.0,4.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,139.0,106.0,37.5,16.0,6.0,0.0,4.0,8.0,4.0,2,0,5.0,5.0,0.0,5.0,0.0,17.0,10.0,6.0,1.0,0.0,7.0,0.0,34.0
250121294,Tijjani Reijnders,Netherlands,Midfielder,CENTRAL_MIDFIELDER,,,26,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121294.jpg,46.61,32.26,360.0,4.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,173.0,166.0,0.0,3.0,0.0,6.0,4.0,1.0,2.0,0,0,10.0,2.0,0.0,2.0,1.0,8.0,5.0,1.0,2.0,0.0,0.0,1.0,7.0
250160436,Maghnes Akliouche,France,Midfielder,UNKNOWN,,,22,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250160436.jpg,44.67,33.39,360.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,87.5,167.0,146.0,44.45,18.0,8.0,1.0,4.0,5.0,8.0,0,0,9.0,3.0,0.0,3.0,2.0,10.0,4.0,3.0,3.0,1.0,9.0,2.0,10.0
250028211,Antonio Rüdiger,Germany,Defender,CENTRE_BACK,85.0,190.0,31,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250028211.jpg,39.28,31.7,360.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.75,242.0,228.0,0.0,0.0,0.0,7.0,4.0,6.0,0.0,1,0,21.0,5.0,2.0,3.0,12.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
250123677,Malik Tillman,USA,Midfielder,UNKNOWN,,,22,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250123677.jpg,46.72,33.97,360.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,174.0,152.0,25.0,8.0,2.0,4.0,4.0,3.0,10.0,1,0,22.0,7.0,3.0,4.0,9.0,7.0,2.0,3.0,2.0,2.0,5.0,0.0,6.0
250055663,Thilo Kehrer,Germany,Defender,CENTRAL_MIDFIELDER,72.0,186.0,28,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250055663.jpg,37.94,32.48,360.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,248.0,225.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,1,0,26.0,6.0,1.0,5.0,10.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
250064188,Hans Vanaken,Belgium,Midfielder,ATTACKING_MIDFIELDER,77.0,194.0,32,50043,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250064188.jpg,46.53,29.99,360.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,92.0,216.0,200.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0,0,12.0,3.0,2.0,1.0,6.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
250088061,Achraf Hakimi,Morocco,Defender,WINGER,68.0,179.0,26,52747,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250088061.jpg,44.88,36.55,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.25,281.0,254.0,25.0,16.0,4.0,8.0,4.0,6.0,8.0,0,0,22.0,4.0,1.0,3.0,4.0,17.0,6.0,7.0,4.0,0.0,0.0,0.0,14.0
250189506,Ryan Flamingo,Netherlands,Defender,,,,21,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250189506.jpg,44.37,32.14,360.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94.5,252.0,239.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0,0,15.0,10.0,5.0,5.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
250106969,Miguel Gutiérrez,Spain,Defender,UNKNOWN,,,23,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250106969.jpg,43.79,31.57,360.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,85.75,178.0,152.0,26.67,15.0,4.0,7.0,4.0,2.0,6.0,0,0,12.0,4.0,2.0,2.0,2.0,6.0,2.0,1.0,3.0,0.0,3.0,0.0,10.0
50327420,Virgil van Dijk,Netherlands,Defender,CENTRE_BACK,92.0,193.0,33,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/50327420.jpg,37.76,34.92,360.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,93.5,284.0,265.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,1,0,21.0,3.0,2.0,1.0,13.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
250070417,Joshua Kimmich,Germany,Midfielder,CENTRE_BACK,70.0,176.0,29,50037,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250070417.jpg,49.69,32.23,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91.0,398.0,366.0,32.0,25.0,8.0,9.0,4.0,3.0,2.0,1,0,20.0,8.0,2.0,6.0,0.0,6.0,3.0,2.0,1.0,3.0,19.0,0.0,0.0
250096309,Jules Koundé,France,Defender,CENTRE_BACK,,,25,50080,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250096309.jpg,43.39,31.61,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,198.0,180.0,14.29,7.0,1.0,6.0,4.0,4.0,2.0,0,0,22.0,3.0,1.0,2.0,9.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,11.0
250129965,Marc Casado,Spain,Midfielder,UNKNOWN,,,21,50080,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250129965.jpg,47.3,29.28,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.75,251.0,226.0,0.0,1.0,0.0,7.0,4.0,10.0,5.0,1,0,18.0,19.0,7.0,12.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
250004363,Stefan Ristovski,North Macedonia,Defender,FULL_BACK,72.0,180.0,32,50164,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250004363.jpg,43.66,32.02,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.75,156.0,124.0,33.34,9.0,3.0,4.0,4.0,2.0,5.0,2,0,19.0,6.0,2.0,4.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
250139207,Rico Lewis,England,Defender,UNKNOWN,,,19,52919,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250139207.jpg,44.24,32.53,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,93.25,269.0,251.0,50.0,2.0,1.0,1.0,4.0,0.0,3.0,0,0,14.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0
250134304,Gabriel Martinelli,Brazil,Forward,WINGER,,,23,52280,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250134304.jpg,43.12,34.39,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,81.75,99.0,80.0,40.91,22.0,9.0,0.0,4.0,2.0,1.0,1,0,4.0,1.0,1.0,0.0,2.0,8.0,3.0,3.0,2.0,1.0,4.0,0.0,8.0
250127492,Kamil Piątkowski,Poland,Defender,UNKNOWN,,,24,50030,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250127492.jpg,42.47,32.29,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.75,220.0,196.0,0.0,0.0,0.0,12.0,4.0,2.0,3.0,2,0,26.0,1.0,0.0,1.0,18.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
250189363,Youngwoo Seol,Korea Republic,Defender,UNKNOWN,,,25,50069,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250189363.jpg,42.36,32.14,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.75,160.0,131.0,10.0,10.0,1.0,6.0,4.0,1.0,6.0,1,0,15.0,1.0,0.0,1.0,8.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0
250052554,Josip Mišić,Croatia,Midfielder,CENTRAL_MIDFIELDER,,,30,50164,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250052554.jpg,42.09,32.47,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0,186.0,160.0,0.0,3.0,0.0,5.0,4.0,6.0,3.0,0,0,23.0,12.0,5.0,7.0,4.0,3.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0
250134856,Nico Schlotterbeck,Germany,Defender,UNKNOWN,,,24,52758,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250134856.jpg,41.2,32.85,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,91.0,381.0,348.0,100.0,1.0,1.0,4.0,4.0,0.0,3.0,0,0,18.0,7.0,4.0,3.0,10.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0
250092668,Dávid Hancko,Slovakia,Defender,CENTRE_BACK,,,26,52749,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250092668.jpg,40.4,32.74,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,245.0,221.0,0.0,4.0,0.0,10.0,4.0,1.0,0.0,0,0,20.0,6.0,4.0,2.0,17.0,7.0,0.0,3.0,4.0,1.0,0.0,1.0,3.0
